"","p_t","p_perm","slope"
"1",4.0394274913897e-74,0,1.9836569284848
"2",5.26644180470646e-77,0,2.00961068602496
"3",3.16031274638109e-74,0,2.01392709752871
"4",4.30730521662283e-70,0,2.04210342323365
"5",6.99626094220848e-71,0,2.04509607355687
"6",7.82549220109246e-73,0,2.02338292691736
"7",3.45003536814707e-75,0,1.99530997082893
"8",3.61404662424132e-77,0,2.06885844822735
"9",8.58671752252447e-72,0,1.98307581885633
"10",2.54332354456676e-72,0,2.06518052409017
"11",2.89662079104769e-82,0,2.05448282167804
"12",1.86440992483875e-70,0,2.0238353009513
"13",8.1760356650633e-76,0,2.03173033572742
"14",8.64575112307611e-68,0,1.94613583159417
"15",2.06133316738263e-76,0,1.97550025801208
"16",2.70694479842026e-73,0,2.09085386641784
"17",6.47288856588428e-70,0,2.03163173579431
"18",5.20454355884949e-82,0,1.98924939623062
"19",6.55168621954082e-73,0,2.01940258432328
"20",1.84049439419442e-71,0,2.00114311557971
"21",1.14062109173914e-69,0,1.90385992532043
"22",3.74192680045293e-69,0,1.99633790736242
"23",2.69683519416588e-79,0,1.95191649249566
"24",5.71811824517955e-74,0,1.97107286039816
"25",1.01175449317071e-68,0,2.04438780420211
"26",1.2952532979861e-69,0,1.92860399741624
"27",1.16925004178588e-70,0,2.0288408153783
"28",5.53586476969919e-73,0,2.03928531777104
"29",8.08616584175332e-73,0,2.04265236551159
"30",1.53991626776057e-73,0,1.99588199956722
"31",4.7959728706676e-73,0,1.988072188197
"32",1.1829300243993e-74,0,2.03123281675317
"33",3.68230306509031e-75,0,1.98212551304235
"34",4.65063797987984e-74,0,1.98337063927678
"35",6.20260279142391e-69,0,2.02075249168048
"36",2.77429603469193e-76,0,1.95360685870789
"37",5.97351549128364e-73,0,1.93806841777203
"38",2.80784966873123e-80,0,1.95788127742112
"39",5.54482778859924e-72,0,2.02503867776899
"40",1.25206649425681e-78,0,2.04756773366446
"41",4.51776330435297e-76,0,2.01722327836494
"42",2.73099566292257e-75,0,1.99043444911961
"43",8.46916068353029e-83,0,2.02378886243984
"44",4.92150669886393e-67,0,1.9696506660225
"45",9.94771414408588e-71,0,2.01451712784057
"46",1.04561646691759e-69,0,2.01550891666147
"47",6.49798000578742e-70,0,2.00635533032678
"48",4.22667204536121e-74,0,2.03111887967098
"49",2.20787349694215e-73,0,2.04516854330949
"50",3.7892436555756e-77,0,2.00682194212869
"51",3.88864875286043e-76,0,2.02333383251811
"52",1.1343653024074e-67,0,1.9508934752061
"53",7.23073237616329e-71,0,1.93392218910217
"54",1.07942824243212e-71,0,2.0192371392688
"55",1.70395232086802e-75,0,1.94131835856917
"56",3.12302745918102e-76,0,1.94197679023547
"57",8.84703554723656e-80,0,2.01912028075063
"58",2.79661561544847e-74,0,2.01519827469255
"59",1.72911085524585e-69,0,2.01511834679961
"60",2.29424492589563e-73,0,1.99973691597074
"61",9.83029860199515e-72,0,1.95744661471932
"62",4.39520565934901e-73,0,2.0495900276628
