,ticker,Pct_Change_Dec2007_June_2009,Pct_Change_Dec2009_June_2011
0,A,-41.81144683411909,75.6357454410404
1,AA,-64.14319275068985,27.05882308997312
2,AABA,-27.35602284857166,6.586831286634974
4,AAL,-79.2592603058154,142.70556140113237
5,AAME,-34.81481631923942,104.90195620110437
6,AAN,61.432830997500844,105.37790522390374
8,AAON,17.907225949200356,82.68920436350919
9,AAP,25.069261590815433,54.79452889938153
10,AAPL,-18.334742589271954,82.77355311974651
12,AAV,-33.14153943234977,50.98039332349812
13,AAWW,-49.49146154952115,106.10328542404442
15,AAXN,-66.2142855780465,7.058828017290818
16,AB,-70.59362083686509,-21.734060271476846
18,ABAX,-36.83886646248906,33.676201134854935
19,ABB,-35.76183339084525,48.40335689078071
21,ABC,-12.055746152583128,72.03145097147373
22,ABCB,-54.07407257216688,41.60239060722928
25,ABEO,-2.1739130434782608,-18.050541516245488
26,ABEV,-16.997788970254625,77.14534404866752
27,ABG,-18.885873887328643,72.07791926306218
29,ABIO,-85.50847341083008,-29.225351054148852
30,ABM,-0.9839390572957195,26.06124833452902
31,ABMD,-29.608939482931966,125.18701290670904
32,ABR,-86.27211663338404,217.57574829297727
33,ABT,-15.099011031807477,-1.6448599825265025
35,ABUS,25.27471583126564,-12.000001271565862
36,ABX,1.120891794135427,22.550535343000426
37,AC,247.37757032162614,93.44547598048023
38,ACAD,-77.54545428536154,62.71186800257929
40,ACC,-5.535648200757406,35.52080007055942
41,ACCO,-77.74952255655049,21.363641585200384
42,ACER,-69.30232645285457,-5.0
43,ACET,-3.800785812626157,45.36083153323193
44,ACGL,-10.982310510158774,47.5816970079494
47,ACH,-42.84551330504714,-19.323674442307652
48,ACHC,-46.56488407214567,230.69306393135105
49,ACHN,-61.99524918422331,268.42105863557305
50,ACHV,257.7235826148594,-13.940520733647102
53,ACIW,-8.357516283379983,105.91464155525914
54,ACLS,-86.72768882151817,57.14284998743787
55,ACM,20.300750154470254,15.311984600900477
57,ACN,-0.2071609734465501,48.74446026023507
58,ACNB,-17.123287223834573,26.349721982032133
59,ACOR,51.396344057405564,37.56281251505095
67,ACTG,-8.594655059530494,386.76276320567
71,ACXM,14.033459077712509,14.518896310452057
73,ADBE,-27.25532674675053,-3.3840969935753735
74,ADC,-35.699519114170094,-1.1154021228605306
75,ADES,-34.1772188402851,550.1886385723797
76,ADI,-15.79980363730186,32.42524951890164
77,ADM,-19.30362651246361,2.605543942872329
79,ADMP,1649.9999254941997,4.545456573809128
83,ADP,-12.724823547856639,28.439934767447244
84,ADRA,-30.459261293764445,11.0
85,ADRD,-39.142947207982075,7.64453109479428
86,ADRE,-28.900308303882927,9.406517056206344
88,ADRU,-42.65970734384269,7.880832960525161
89,ADS,-34.18873018804778,56.96645956249049
90,ADSK,-51.53977617450628,76.86725602626093
93,ADTN,2.921458979259854,104.25843817371012
96,ADX,-34.73368447817437,13.326555745514817
97,ADXS,7.142857142857142,53.153153153153156
98,AEB,-26.46556459474559,57.47440474772246
99,AED,-23.6410238803959,42.56347411425982
100,AEE,-52.98774572529188,12.050503440816158
101,AEG,-59.96430557473433,10.210698649120983
102,AEGN,40.571422966159176,19.77862640613017
103,AEH,-19.46124690265548,46.89993222999886
104,AEHR,-82.28070132876948,42.9906445222606
105,AEIS,-17.85714231651121,34.33242192906935
106,AEL,-29.880950786088718,81.31240546584635
107,AEM,32.096915558763364,23.502831856042093
108,AEMD,-44.61538461538462,-62.06896551724138
109,AEO,-24.91467846575493,-15.635182492254831
110,AEP,-37.749196215100916,17.81840693657825
111,AER,-60.59968605503413,57.939390702681216
113,AES,-45.74766418862886,1.2718588901625554
114,AET,-51.02004238355221,54.43256575105808
115,AETI,-37.37113414731573,64.45498583556245
116,AEY,-64.59853922503346,32.65305377701273
117,AEZS,59.863945578231295,230.76923076923075
118,AFB,-6.692009021251609,3.957378162121148
119,AFC,-39.71181666763201,47.73139178404685
120,AFG,-18.575418324719138,52.1258421892858
125,AFL,-39.197066896179656,1.6329196495029925
127,AFSI,-8.268328612836475,94.03748083186704
131,AG,-35.57691910915818,523.0769230769231
132,AGC,-53.52981398971577,21.76165639891699
133,AGCO,-50.924449965236704,69.42954017151571
134,AGD,-59.58839718208411,-23.26530781054388
135,AGEN,32.17822284677928,55.38461011777515
140,AGM,-75.48859889319418,252.79108303864385
142,AGN,25.621067596168363,85.60628037438619
147,AGO,-24.72289211778747,-15.42742070707167
