"","p_t","p_perm","slope"
"1",1.30557308575472e-104,0,0.0194399911078261
"2",9.99122562517417e-127,0,0.0229543382878848
"3",5.55407637250178e-141,0,0.0198349892113839
"4",1.14090021239729e-129,0,0.0208003784960618
"5",9.63336207614773e-146,0,0.0196677421441666
"6",2.88288457449822e-130,0,0.0192167901558001
"7",2.92413852828717e-136,0,0.0223071217506416
"8",6.98060661437308e-99,0,0.0186276188902796
"9",1.69698736579452e-154,0,0.0208975918320759
"10",6.77153763085034e-156,0,0.0218476368428977
"11",5.1716143960469e-143,0,0.0220960367263651
"12",2.85267552677389e-154,0,0.0205991104127128
"13",2.86724726406705e-148,0,0.0189204570191051
"14",2.71910159807068e-125,0,0.0210149424303745
"15",5.67319099152222e-146,0,0.0222077982998647
"16",4.69316517016786e-97,0,0.0228430188825405
"17",1.33088310896575e-134,0,0.0241464410447599
"18",2.10260211966859e-121,0,0.0199715932222344
"19",1.18309112813137e-116,0,0.0212633302574132
"20",2.86118029216113e-116,0,0.0201330213402732
"21",2.68815123154162e-105,0,0.0197783477080224
"22",1.08290763132727e-115,0,0.0227552178833998
"23",3.68565882716503e-154,0,0.0215970871436109
"24",7.00617466505639e-89,0,0.0174827211452129
"25",1.34493976234862e-125,0,0.0251007938090746
"26",1.68128238063978e-119,0,0.0184067488045771
"27",5.12518009851578e-117,0,0.0186034671854396
"28",9.71172658731583e-121,0,0.0218194252833999
"29",7.85729921357775e-102,0,0.0193364363849551
"30",4.22359024836728e-119,0,0.0258638285006453
"31",4.82853788879289e-107,0,0.0200171166355937
"32",1.16533570151681e-132,0,0.0188568075642719
"33",1.94301980278515e-129,0,0.0191005921339257
"34",2.13554511106464e-88,0,0.019805606593119
"35",2.75395242425278e-66,0,0.0167390729254849
"36",1.88345823973448e-166,0,0.0208630504040278
"37",8.72011280881933e-120,0,0.0207584362665669
"38",2.64898029717883e-142,0,0.0210391413533722
"39",3.21135648879253e-141,0,0.0204812481456146
"40",2.7855336283687e-147,0,0.018874517109888
"41",3.17757597426061e-127,0,0.0193920190183409
"42",1.62724484285317e-170,0,0.0226902729346228
"43",5.9399305007841e-149,0,0.0227193080299988
"44",1.68609536109274e-98,0,0.0190439521840751
"45",1.54261012233897e-122,0,0.0207513350143784
"46",5.15695657089699e-99,0,0.0185208849711689
"47",1.45197403262183e-127,0,0.0186459983403153
"48",1.48219159868597e-144,0,0.0221827004046535
"49",5.87925521333685e-156,0,0.0228252679465941
"50",1.03404281687494e-113,0,0.018184363763142
"51",2.02947055997053e-162,0,0.0223537754473055
"52",2.41172480659367e-122,0,0.0230604936420059
"53",5.78295403292438e-175,0,0.0225132145542802
"54",1.68734695970039e-116,0,0.0217741277040241
